m_dot_h,m_dot_c,T_c_i,T_h_i,T_c_o,T_h_o,q_c,q_h,epsilon,lmtd,U_measured,delta_U_measured
0.04940711462450593,0.015830167299873358,13.7,49.9,38.3,41.9,1628.563287342531,1652.1739130434783,0.6894101242378802,14.12401674039419,1584.7243487175194,30.54034079112828
0.03293807641633728,0.01566353395987469,13.5,53.2,38.0,41.6,1604.8700259948007,1597.1014492753625,0.6141411749501406,15.039051486957963,1438.6934003974122,21.058182793788745
0.01646903820816864,0.017829767379857364,13.3,59.8,33.9,37.9,1536.020195960808,1507.6086956521738,0.47096774193548385,17.32460805243852,1178.9120573887687,15.312731295535855
0.008399209486166008,0.018329667399853363,13.4,68.0,29.8,34.8,1257.1365726854629,1165.608695652174,0.6080586080586081,20.747964363642716,761.0855545700982,15.561036694190461
