rho_c,rho_h,c_p_c,c_p_h,mu,Pr,k,k_steel
999.2006394884093,988.7284951552302,4182,4180,0.000567,0.894,0.641,15.2
999.2006394884093,988.7284951552302,4182,4180,0.000567,0.894,0.641,15.2
999.2006394884093,988.7284951552302,4182,4180,0.000567,0.894,0.641,15.2
999.2006394884093,988.7284951552302,4182,4180,0.000567,0.894,0.641,15.2
