d [mm],Q [litres/s],T [C],h1 [m],h2 [m],V_avg [m/s],v [m^2/s],Re_D,f_e,f_c,h_e [m],h_c [m]
7.7,0.0549462890625,25.5,-0.1248779296875,0.6357421875,1.1799593197980123,8.956e-07,10144.804335020874,0.08253220839910001,0.030764555893040044,0.7606201171875,0.2835273714648436
7.7,0.065935546875,25.5,-0.1248779296875,0.6357421875,1.4159511837576149,8.956e-07,12173.765202025048,0.05731403361048611,0.029282212465981734,0.7606201171875,0.38860709104426605
10.9,0.637376953125,25.5,3.9052734375,7.5494384765625,6.830515458476224,8.956e-07,83131.55258752886,0.016703849993434234,0.018532734680471962,3.6441650390625,4.043160338924469
10.9,0.637376953125,25.5,3.8712158203125,7.7537841796875,6.830515458476224,8.956e-07,83131.55258752886,0.01779662522664956,0.018532734680471962,3.882568359375,4.043160338924469
10.9,0.637376953125,25.5,3.8712158203125,7.7537841796875,6.830515458476224,8.956e-07,83131.55258752886,0.01779662522664956,0.018532734680471962,3.882568359375,4.043160338924469
10.9,0.637376953125,25.5,3.8031005859375,7.62890625,6.830515458476224,8.956e-07,83131.55258752886,0.017536440647312575,0.018532734680471962,3.8258056640625,4.043160338924469
10.9,0.6483662109375,25.5,3.8031005859375,7.62890625,6.9482829663809875,8.956e-07,84564.85521834833,0.01694702279159997,0.01846548860634433,3.8258056640625,4.168600689842116
10.9,0.549462890625,25.5,2.9857177734375,5.926025390625,5.888375395238124,8.956e-07,71665.13154097315,0.018135406363712657,0.01913235164540668,2.9403076171875,3.101943135405023
10.9,0.5604521484375,25.5,2.9857177734375,5.926025390625,6.006142903142887,8.956e-07,73098.43417179261,0.017431186431865295,0.019050680431828462,2.9403076171875,3.213485267067732
10.9,0.5604521484375,25.5,2.9630126953125,5.9146728515625,6.006142903142887,8.956e-07,73098.43417179261,0.017498488309980607,0.019050680431828462,2.95166015625,3.213485267067732
10.9,0.549462890625,25.5,2.9630126953125,5.9146728515625,5.888375395238124,8.956e-07,71665.13154097315,0.018205427237703825,0.01913235164540668,2.95166015625,3.101943135405023
10.9,0.549462890625,25.5,2.9970703125,5.9033203125,5.888375395238124,8.956e-07,71665.13154097315,0.017925343741739153,0.01913235164540668,2.90625,3.101943135405023
10.9,0.461548828125,25.5,2.0888671875,4.1209716796875,4.9462353320000245,8.956e-07,60198.71049441745,0.01776323192236277,0.019874666266489215,2.0321044921875,2.273651482870916
10.9,0.4505595703125,25.5,2.1229248046875,4.1890869140625,4.828467824095262,8.956e-07,58765.40786359798,0.01895270533371903,0.01998065073329394,2.066162109375,2.178225363549556
10.9,0.4505595703125,25.5,2.1229248046875,4.1890869140625,4.828467824095262,8.956e-07,58765.40786359798,0.01895270533371903,0.01998065073329394,2.066162109375,2.178225363549556
10.9,0.461548828125,25.5,2.1229248046875,4.1890869140625,4.9462353320000245,8.956e-07,60198.71049441745,0.01806093971994427,0.019874666266489215,2.066162109375,2.273651482870916
10.9,0.461548828125,25.5,2.1002197265625,4.1663818359375,4.9462353320000245,8.956e-07,60198.71049441745,0.01806093971994427,0.019874666266489215,2.066162109375,2.273651482870916
10.9,0.3406669921875,25.5,1.3055419921875,2.5997314453125,3.6507927450476374,8.956e-07,44432.38155540335,0.020765815907890773,0.02127488083852106,1.294189453125,1.3259159437719281
10.9,0.3406669921875,25.5,1.2828369140625,2.611083984375,3.6507927450476374,8.956e-07,44432.38155540335,0.02131228474757211,0.02127488083852106,1.3282470703125,1.3259159437719281
10.9,0.35165625,25.5,1.2828369140625,2.611083984375,3.7685602529524,8.956e-07,45865.68418622282,0.020001079728922656,0.0211216803512614,1.3282470703125,1.4026647774455525
10.9,0.35165625,25.5,1.294189453125,2.6337890625,3.7685602529524,8.956e-07,45865.68418622282,0.020172029128315158,0.0211216803512614,1.339599609375,1.4026647774455525
10.9,0.3406669921875,25.5,1.294189453125,2.6337890625,3.6507927450476374,8.956e-07,44432.38155540335,0.021494441027465887,0.02127488083852106,1.339599609375,1.3259159437719281
10.9,0.241763671875,25.5,0.7152099609375,1.453125,2.5908851739047747,8.956e-07,31532.657878028185,0.023509074428853076,0.02304166323159996,0.7379150390625,0.7232436936242477
10.9,0.241763671875,25.5,0.7152099609375,1.453125,2.5908851739047747,8.956e-07,31532.657878028185,0.023509074428853076,0.02304166323159996,0.7379150390625,0.7232436936242477
10.9,0.241763671875,25.5,0.7152099609375,1.430419921875,2.5908851739047747,8.956e-07,31532.657878028185,0.022785718292580675,0.02304166323159996,0.7152099609375,0.7232436936242477
10.9,0.241763671875,25.5,0.7152099609375,1.430419921875,2.5908851739047747,8.956e-07,31532.657878028185,0.022785718292580675,0.02304166323159996,0.7152099609375,0.7232436936242477
10.9,0.2527529296875,25.5,0.7265625,1.453125,2.7086526818095376,8.956e-07,32965.96050884765,0.021178336178803336,0.022800494571879694,0.7265625,0.7822136827708712
10.9,0.153849609375,25.5,0.340576171875,0.703857421875,1.648745110666675,8.956e-07,20066.236831472484,0.02857994856782389,0.025727364766218924,0.36328125,0.32702190521085334
10.9,0.153849609375,25.5,0.3519287109375,0.6925048828125,1.648745110666675,8.956e-07,20066.236831472484,0.026793701782334894,0.025727364766218924,0.340576171875,0.32702190521085334
10.9,0.1428603515625,25.5,0.3519287109375,0.6925048828125,1.5309776027619124,8.956e-07,18632.93420065302,0.03107435236294462,0.02621224118976442,0.340576171875,0.2872872347074142
10.9,0.1428603515625,25.5,0.340576171875,0.6925048828125,1.5309776027619124,8.956e-07,18632.93420065302,0.03211016410837611,0.02621224118976442,0.3519287109375,0.2872872347074142
10.9,0.153849609375,25.5,0.340576171875,0.6925048828125,1.648745110666675,8.956e-07,20066.236831472484,0.027686825175079394,0.025727364766218924,0.3519287109375,0.32702190521085334
10.9,0.0549462890625,25.5,0.1475830078125,0.295166015625,0.5888375395238125,8.956e-07,7166.513154097315,0.09102713618851911,0.033920339519470606,0.1475830078125,0.05499531174898237
10.9,0.0549462890625,25.5,0.1475830078125,0.295166015625,0.5888375395238125,8.956e-07,7166.513154097315,0.09102713618851911,0.033920339519470606,0.1475830078125,0.05499531174898237
10.9,0.0549462890625,25.5,0.1475830078125,0.295166015625,0.5888375395238125,8.956e-07,7166.513154097315,0.09102713618851911,0.033920339519470606,0.1475830078125,0.05499531174898237
10.9,0.065935546875,25.5,0.1475830078125,0.295166015625,0.706605047428575,8.956e-07,8599.815784916778,0.06321328901980493,0.03220728187371715,0.1475830078125,0.0751938019060989
10.9,0.065935546875,25.5,0.1475830078125,0.295166015625,0.706605047428575,8.956e-07,8599.815784916778,0.06321328901980493,0.03220728187371715,0.1475830078125,0.0751938019060989
17.2,0.74726953125,25.5,5.381103515625,5.926025390625,3.2161070773499474,8.956e-07,61765.34360252244,0.017778728290728827,0.019762597528706842,0.544921875,0.6057278970751303
17.2,0.74726953125,25.5,5.381103515625,5.926025390625,3.2161070773499474,8.956e-07,61765.34360252244,0.017778728290728827,0.019762597528706842,0.544921875,0.6057278970751303
17.2,0.74726953125,25.5,5.335693359375,5.8919677734375,3.2161070773499474,8.956e-07,61765.34360252244,0.018149118463452345,0.019762597528706842,0.5562744140625,0.6057278970751303
17.2,0.74726953125,25.5,5.335693359375,5.8919677734375,3.2161070773499474,8.956e-07,61765.34360252244,0.018149118463452345,0.019762597528706842,0.5562744140625,0.6057278970751303
17.2,0.74726953125,25.5,5.3243408203125,5.880615234375,3.2161070773499474,8.956e-07,61765.34360252244,0.018149118463452345,0.019762597528706842,0.5562744140625,0.6057278970751303
17.2,0.6483662109375,25.5,4.0301513671875,4.4842529296875,2.7904458465242192,8.956e-07,53590.51871395329,0.019680369533737935,0.02039400174225237,0.4541015625,0.47056779299334484
