d [mm],Q [m^3/s],T [C],V_avg [m/s],v [m^2/s],Re_D,h1 [m],h2 [m],h_K [m],K,L_eq [m]
17.2,0.00075,25.5,3.2278584997004187,8.956e-07,61991.02969500581,2.1456298828125,2.5588623046875,0.433232421875,0.8158136680244553,0.710597170162368
17.2,0.0006500000000000001,25.5,2.7974773664070303,8.956e-07,53725.55906900505,1.5076171875,1.8186767578125,0.3310595703125,0.8299883321252416,0.7003932989484752
17.2,0.00055,25.5,2.367096233113641,8.956e-07,45460.088443004264,1.0058349609375,1.248779296875,0.2629443359375,0.9207272452749983,0.7482625335608274
17.2,0.00045000000000000004,25.5,1.9367150998202518,8.956e-07,37194.6178170035,0.5562744140625,0.7379150390625,0.20164062499999996,1.0547403502774424,0.8184957047269655
17.2,0.00035,25.5,1.5063339665268622,8.956e-07,28929.147191002714,0.1203369140625,0.2520263671875,0.15168945312499998,1.3116315369078797,0.959177247600754
17.2,0.00025,25.5,1.0759528332334731,8.956e-07,20663.67656500194,-0.1702880859375,-0.0703857421875,0.11990234375,2.0320772252561445,1.368556653205011
17.2,0.00075,25.5,3.2278584997004187,8.956e-07,61991.02969500581,6.098583984375,5.9146728515625,0.20391113281249998,0.3839820863148263,0.3344594416873369
17.2,0.0006500000000000001,25.5,2.7974773664070303,8.956e-07,53725.55906900505,4.78623046875,4.6681640625,0.13806640625,0.3461416509959046,0.2920948204461157
17.2,0.00055,25.5,2.367096233113641,8.956e-07,45460.088443004264,3.7576904296875,3.6623291015625,0.115361328125,0.40394982260064083,0.328284537295651
17.2,0.00045000000000000004,25.5,1.9367150998202518,8.956e-07,37194.6178170035,2.4680419921875,2.4044677734375,0.08357421875000001,0.43715943034067967,0.3392428439099851
17.2,0.00035,25.5,1.5063339665268622,8.956e-07,28929.147191002714,1.584814453125,1.5643798828125,0.04043457031250001,0.34963048854484496,0.2556797395024092
17.2,0.00025,25.5,1.0759528332334731,8.956e-07,20663.67656500194,0.9331787109375,0.9422607421875,0.010917968750000001,0.1850352123991179,0.12461690326463612
17.2,0.00075,25.5,3.2278584997004187,8.956e-07,61991.02969500581,5.072314453125,3.7667724609375,1.3255419921875,2.496108832498556,2.1741825888820436
17.2,0.0006500000000000001,25.5,2.7974773664070303,8.956e-07,53725.55906900505,3.664599609375,2.7768310546875,0.9077685546875,2.275836061617613,1.920485222943762
17.2,0.00055,25.5,2.367096233113641,8.956e-07,45460.088443004264,2.7677490234375,2.0865966796875,0.70115234375,2.4551586695234753,1.9952741224712738
17.2,0.00045000000000000004,25.5,1.9367150998202518,8.956e-07,37194.6178170035,2.0548095703125,1.503076171875,0.5717333984375,2.9906190031561417,2.320769095364809
17.2,0.00035,25.5,1.5063339665268622,8.956e-07,28929.147191002714,1.4236083984375,1.0330810546875,0.41052734375,3.5497564249361653,2.595885735829557
17.2,0.00025,25.5,1.0759528332334731,8.956e-07,20663.67656500194,0.8923095703125,0.649365234375,0.2629443359375,4.456319867130992,3.001227575001753
17.2,0.00075,25.5,3.2278584997004187,8.956e-07,61991.02969500581,5.281201171875,4.8793212890625,0.4218798828125,0.7944358669497212,0.6919764905348913
17.2,0.0006500000000000001,25.5,2.7974773664070303,8.956e-07,53725.55906900505,4.0982666015625,3.7599609375,0.35830566406250003,0.8982960988729127,0.758035437089985
17.2,0.00055,25.5,2.367096233113641,8.956e-07,45460.088443004264,3.1037841796875,2.8540283203125,0.269755859375,0.9445785109368918,0.7676461333884509
